Brand,PriceEuro
Aiways ,36057.0
Audi ,80593.66666666667
BMW ,53145.75
Byton ,59833.333333333336
CUPRA ,45000.0
Citroen ,40000.0
DS ,37422.0
Fiat ,36400.0
Ford ,54568.75
Honda ,34459.0
Hyundai ,36408.333333333336
Jaguar ,75351.0
Kia ,35862.4
Lexus ,50000.0
Lightyear ,149000.0
Lucid ,105000.0
MG ,30000.0
Mazda ,32646.0
Mercedes ,61705.0
Mini ,31681.0
Nissan ,45902.125
Opel ,35350.666666666664
Peugeot ,32021.5
Polestar ,56440.0
Porsche ,138265.8
Renault ,31268.2
SEAT ,20129.0
Skoda ,38255.666666666664
Smart ,22660.666666666668
Sono ,25500.0
Tesla ,80272.30769230769
Volkswagen ,34602.375
Volvo ,60437.0
